##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	S9_L008_R2_001_TRIMMED_PAIRED.fastqc.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17465613
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.0834538701848	32.0	32.0	32.0	32.0	32.0
2	31.44966346156874	32.0	32.0	32.0	32.0	32.0
3	34.84036122866114	37.0	32.0	37.0	32.0	37.0
4	35.71183164312641	37.0	37.0	37.0	32.0	37.0
5	36.147384348891734	37.0	37.0	37.0	37.0	37.0
6	39.358098052441676	41.0	41.0	41.0	37.0	41.0
7	39.477880793534126	41.0	41.0	41.0	37.0	41.0
8	39.627735024244494	41.0	41.0	41.0	37.0	41.0
9	39.76781536382376	41.0	41.0	41.0	37.0	41.0
10-11	39.766150062983755	41.0	41.0	41.0	37.0	41.0
12-13	39.74842217103975	41.0	41.0	41.0	37.0	41.0
14-15	39.70020439591785	41.0	41.0	41.0	37.0	41.0
16-17	39.50863304940972	41.0	41.0	41.0	37.0	41.0
18-19	39.58361856523444	41.0	41.0	41.0	37.0	41.0
20-21	39.563514403989146	41.0	41.0	41.0	37.0	41.0
22-23	39.57187477473593	41.0	41.0	41.0	37.0	41.0
24-25	39.61224364126241	41.0	41.0	41.0	37.0	41.0
26-27	39.63314047437098	41.0	41.0	41.0	37.0	41.0
28-29	39.63951090637357	41.0	41.0	41.0	37.0	41.0
30-31	39.568998895143274	41.0	41.0	41.0	37.0	41.0
32-33	39.23567311951776	41.0	41.0	41.0	37.0	41.0
34-35	39.05044775697252	41.0	41.0	41.0	37.0	41.0
36-37	38.96282943795648	41.0	41.0	41.0	34.5	41.0
38-39	38.960863055268256	41.0	41.0	41.0	32.0	41.0
40-41	39.27668981724336	41.0	41.0	41.0	37.0	41.0
42-43	39.43346947003799	41.0	41.0	41.0	37.0	41.0
44-45	39.536970917792644	41.0	41.0	41.0	37.0	41.0
46-47	39.52217197304667	41.0	41.0	41.0	37.0	41.0
48-49	39.48930898814318	41.0	41.0	41.0	37.0	41.0
50-51	39.50722531135741	41.0	41.0	41.0	37.0	41.0
52-53	39.57584889244934	41.0	41.0	41.0	37.0	41.0
54-55	39.39207260275401	41.0	41.0	41.0	37.0	41.0
56-57	39.51636836255437	41.0	41.0	41.0	37.0	41.0
58-59	39.45388486531908	41.0	41.0	41.0	37.0	41.0
60-61	39.38234601585015	41.0	41.0	41.0	37.0	41.0
62-63	39.45668032023127	41.0	41.0	41.0	37.0	41.0
64-65	39.41567577868649	41.0	41.0	41.0	37.0	41.0
66-67	39.39857574316065	41.0	41.0	41.0	37.0	41.0
68-69	39.335050058465654	41.0	41.0	41.0	37.0	41.0
70-71	39.388859968932124	41.0	41.0	41.0	37.0	41.0
72-73	39.320446918874765	41.0	41.0	41.0	37.0	41.0
74-75	39.315060411021925	41.0	41.0	41.0	37.0	41.0
76-77	38.77873044664089	41.0	39.0	41.0	34.5	41.0
78-79	38.921411482703924	41.0	41.0	41.0	34.5	41.0
80-81	39.28387152765963	41.0	41.0	41.0	37.0	41.0
82-83	39.374638503543025	41.0	41.0	41.0	37.0	41.0
84-85	39.27731128297151	41.0	41.0	41.0	37.0	41.0
86-87	39.233577692998	41.0	41.0	41.0	37.0	41.0
88-89	39.23696225057763	41.0	41.0	41.0	37.0	41.0
90-91	39.17145563761005	41.0	41.0	41.0	37.0	41.0
92-93	39.08508787267708	41.0	41.0	41.0	37.0	41.0
94-95	38.96333840735465	41.0	41.0	41.0	37.0	41.0
96-97	38.932714390783296	41.0	41.0	41.0	37.0	41.0
98-99	38.79954358794333	41.0	41.0	41.0	34.5	41.0
100-101	38.48609815214692	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.27556894918006236
1101	2	-0.44249001864771387
1101	3	-0.8463431593485709
1101	4	-0.7693451284233319
1101	5	-0.4821782485904791
1101	6	-0.9155294306734589
1101	7	-0.2864768034592089
1101	8	-0.08381300415797455
1101	9	-1.413347069529891E-4
1101	10-11	0.0025828690616904737
1101	12-13	-0.007563456830595783
1101	14-15	-0.013160512713987771
1101	16-17	0.08944098967507585
1101	18-19	0.06475468263175799
1101	20-21	0.10668178267890482
1101	22-23	0.08248706000659922
1101	24-25	0.10660536708628143
1101	26-27	0.04146925590207218
1101	28-29	0.02965456411600087
1101	30-31	0.015944007463254195
1101	32-33	0.2173453012699369
1101	34-35	0.13321094875579576
1101	36-37	0.15140459257822414
1101	38-39	0.015669778818356406
1101	40-41	-0.09509241368403565
1101	42-43	-0.0287521754851241
1101	44-45	0.023037563376554715
1101	46-47	0.06543775830662923
1101	48-49	0.1024833954305322
1101	50-51	0.08164646253074892
1101	52-53	-0.0026842182347195376
1101	54-55	0.2117319931921955
1101	56-57	0.026955957718627133
1101	58-59	0.009415147348434516
1101	60-61	0.10840867287354428
1101	62-63	-0.0040463391797374015
1101	64-65	0.0037981347135485066
1101	66-67	0.07950096786367311
1101	68-69	0.08821776567793904
1101	70-71	0.04921488722047229
1101	72-73	0.04231156002603598
1101	74-75	0.03853018382020679
1101	76-77	-0.10504029288324546
1101	78-79	0.09698293421097048
1101	80-81	-0.018891513261117154
1101	82-83	-0.03298239733180708
1101	84-85	0.04536903197675457
1101	86-87	0.018264294903339362
1101	88-89	-0.12326110530266732
1101	90-91	-0.12540571534002254
1101	92-93	-0.05597803985919114
1101	94-95	0.035305444567306665
1101	96-97	-0.04911465616419264
1101	98-99	0.0825013577083169
1101	100-101	0.112150755110072
1102	1	-0.4635733803686044
1102	2	-0.536949925546395
1102	3	-1.1403094721110918
1102	4	-1.0408566275512499
1102	5	-0.9332272123823699
1102	6	-1.2818431598421824
1102	7	-1.1403597705354827
1102	8	-0.6772971364233555
1102	9	-0.37664201434012057
1102	10-11	-0.2312190702496224
1102	12-13	-0.15138025514514908
1102	14-15	-0.19959741423993904
1102	16-17	-0.08365625057207637
1102	18-19	-0.10536457464550608
1102	20-21	-0.13433283508470595
1102	22-23	-0.09595222707470441
1102	24-25	-0.10801068221075383
1102	26-27	-0.02422006884798833
1102	28-29	-0.08154189511258636
1102	30-31	-0.045866615661211085
1102	32-33	0.08913352991805823
1102	34-35	-0.03615723648481861
1102	36-37	-0.064705872923291
1102	38-39	-0.19260735451694444
1102	40-41	-0.1793629851793952
1102	42-43	-0.0875190700984092
1102	44-45	-0.09599709972204096
1102	46-47	-0.11121983468943597
1102	48-49	-0.05861647472899989
1102	50-51	-0.02573349188759977
1102	52-53	-0.14667901778005898
1102	54-55	0.06355570691787449
1102	56-57	-0.10773656811833376
1102	58-59	-0.07545638085503725
1102	60-61	0.023188569513784785
1102	62-63	-0.0916813142385351
1102	64-65	-0.04807718101528735
1102	66-67	-0.053762245692759336
1102	68-69	-0.01978397848289859
1102	70-71	-0.08544603057966782
1102	72-73	-0.02322348953448028
1102	74-75	-0.07112473175084943
1102	76-77	-0.4288199824010519
1102	78-79	-0.017230071497330357
1102	80-81	-0.06313773668474454
1102	82-83	-0.19289766803799324
1102	84-85	-0.11206913106187955
1102	86-87	-0.08895967561898033
1102	88-89	-0.13463750725800594
1102	90-91	-0.1668043654418625
1102	92-93	-0.21727369811916475
1102	94-95	-0.15662541247147743
1102	96-97	-0.22050791439836104
1102	98-99	-0.04357693081983882
1102	100-101	0.06093387283141283
1103	1	-0.6441845472136549
1103	2	-0.4670612617452754
1103	3	-1.1784352331551489
1103	4	-0.8784351356608724
1103	5	-0.8586956464633602
1103	6	-0.9252920384224979
1103	7	-0.9454181751593254
1103	8	-0.8325791393069082
1103	9	-0.383018366020039
1103	10-11	-0.2188703462113324
1103	12-13	-0.09028074348724147
1103	14-15	-0.13318347226775984
